Loaded /home/judson/Neural-Networks-in-GNC/inverted_pendulum/training/controller_base.pth as base controller
average_normalized/constant/controllers/controller_333.pth saved with loss: 2.6465256214141846
average_normalized/constant/controllers/controller_334.pth saved with loss: 2.646158218383789
average_normalized/constant/controllers/controller_335.pth saved with loss: 2.6457929611206055
average_normalized/constant/controllers/controller_336.pth saved with loss: 2.6454291343688965
average_normalized/constant/controllers/controller_337.pth saved with loss: 2.6450681686401367
average_normalized/constant/controllers/controller_338.pth saved with loss: 2.644709348678589
average_normalized/constant/controllers/controller_339.pth saved with loss: 2.644352674484253
average_normalized/constant/controllers/controller_340.pth saved with loss: 2.6439971923828125
average_normalized/constant/controllers/controller_341.pth saved with loss: 2.6436431407928467
average_normalized/constant/controllers/controller_342.pth saved with loss: 2.643291711807251
average_normalized/constant/controllers/controller_343.pth saved with loss: 2.642941474914551
average_normalized/constant/controllers/controller_344.pth saved with loss: 2.642594814300537
average_normalized/constant/controllers/controller_345.pth saved with loss: 2.6422531604766846
average_normalized/constant/controllers/controller_346.pth saved with loss: 2.6419126987457275
average_normalized/constant/controllers/controller_347.pth saved with loss: 2.641573905944824
average_normalized/constant/controllers/controller_348.pth saved with loss: 2.641235828399658
average_normalized/constant/controllers/controller_349.pth saved with loss: 2.640899419784546
average_normalized/constant/controllers/controller_350.pth saved with loss: 2.6405646800994873
average_normalized/constant/controllers/controller_351.pth saved with loss: 2.6402316093444824
average_normalized/constant/controllers/controller_352.pth saved with loss: 2.639899253845215
average_normalized/constant/controllers/controller_353.pth saved with loss: 2.6395692825317383
average_normalized/constant/controllers/controller_354.pth saved with loss: 2.639240026473999
average_normalized/constant/controllers/controller_355.pth saved with loss: 2.6389124393463135
average_normalized/constant/controllers/controller_356.pth saved with loss: 2.6385860443115234
average_normalized/constant/controllers/controller_357.pth saved with loss: 2.63826060295105
average_normalized/constant/controllers/controller_358.pth saved with loss: 2.637936592102051
average_normalized/constant/controllers/controller_359.pth saved with loss: 2.6376142501831055
average_normalized/constant/controllers/controller_360.pth saved with loss: 2.637293815612793
average_normalized/constant/controllers/controller_361.pth saved with loss: 2.636974811553955
average_normalized/constant/controllers/controller_362.pth saved with loss: 2.636657476425171
average_normalized/constant/controllers/controller_363.pth saved with loss: 2.636341094970703
