Random seed for torch and numpy: 4529
Epoch 317/5001 | Loss: 2599.408936 | Time: 1.6201 sec
Epoch 318/5001 | Loss: 2599.135498 | Time: 1.5439 sec
Epoch 319/5001 | Loss: 2598.864014 | Time: 1.5591 sec
Epoch 320/5001 | Loss: 2598.593750 | Time: 1.5451 sec
Epoch 321/5001 | Loss: 2598.324951 | Time: 1.6317 sec
Epoch 322/5001 | Loss: 2598.058594 | Time: 1.5674 sec
Epoch 323/5001 | Loss: 2597.793457 | Time: 1.5351 sec
Epoch 324/5001 | Loss: 2597.527588 | Time: 1.6364 sec
Epoch 325/5001 | Loss: 2597.262451 | Time: 1.4594 sec
Epoch 326/5001 | Loss: 2596.999023 | Time: 1.5574 sec
Epoch 327/5001 | Loss: 2596.736816 | Time: 1.6390 sec
Epoch 328/5001 | Loss: 2596.476318 | Time: 1.5856 sec
Epoch 329/5001 | Loss: 2596.216797 | Time: 1.5544 sec
Epoch 330/5001 | Loss: 2595.959961 | Time: 1.5345 sec
Epoch 331/5001 | Loss: 2595.705322 | Time: 1.6492 sec
Epoch 332/5001 | Loss: 2595.452393 | Time: 1.5337 sec
Epoch 333/5001 | Loss: 2595.201172 | Time: 1.5098 sec
Epoch 334/5001 | Loss: 2594.951904 | Time: 1.5454 sec
Epoch 335/5001 | Loss: 2594.703369 | Time: 1.4170 sec
Epoch 336/5001 | Loss: 2594.456787 | Time: 1.4491 sec
Epoch 337/5001 | Loss: 2594.211426 | Time: 1.6247 sec
Epoch 338/5001 | Loss: 2593.969727 | Time: 1.5538 sec
Epoch 339/5001 | Loss: 2593.730957 | Time: 1.5311 sec
Epoch 340/5001 | Loss: 2593.494385 | Time: 1.5454 sec
Epoch 341/5001 | Loss: 2593.260010 | Time: 1.5468 sec
Epoch 342/5001 | Loss: 2593.027588 | Time: 1.4681 sec
Epoch 343/5001 | Loss: 2592.796875 | Time: 1.3686 sec
Epoch 344/5001 | Loss: 2592.567871 | Time: 1.5444 sec
Epoch 345/5001 | Loss: 2592.341064 | Time: 1.5276 sec
Epoch 346/5001 | Loss: 2592.116699 | Time: 1.3802 sec
Epoch 347/5001 | Loss: 2591.893311 | Time: 1.4262 sec
Epoch 348/5001 | Loss: 2591.670166 | Time: 1.4517 sec
Epoch 349/5001 | Loss: 2591.447998 | Time: 1.5437 sec
Epoch 350/5001 | Loss: 2591.227295 | Time: 1.5478 sec
Epoch 351/5001 | Loss: 2591.008545 | Time: 1.5954 sec
Epoch 352/5001 | Loss: 2590.792725 | Time: 1.5287 sec
Epoch 353/5001 | Loss: 2590.578125 | Time: 1.5385 sec
Epoch 354/5001 | Loss: 2590.364990 | Time: 1.6746 sec
Epoch 355/5001 | Loss: 2590.153076 | Time: 1.5547 sec
Epoch 356/5001 | Loss: 2589.942871 | Time: 1.5501 sec
Epoch 357/5001 | Loss: 2589.734375 | Time: 1.6392 sec
Epoch 358/5001 | Loss: 2589.527344 | Time: 1.5468 sec
Epoch 359/5001 | Loss: 2589.321289 | Time: 1.5410 sec
Epoch 360/5001 | Loss: 2589.118164 | Time: 1.5765 sec
Epoch 361/5001 | Loss: 2588.915771 | Time: 1.6264 sec
Epoch 362/5001 | Loss: 2588.715332 | Time: 1.5283 sec
Epoch 363/5001 | Loss: 2588.516113 | Time: 1.5778 sec
Epoch 364/5001 | Loss: 2588.317383 | Time: 1.6172 sec
Epoch 365/5001 | Loss: 2588.121338 | Time: 1.5257 sec
Epoch 366/5001 | Loss: 2587.926025 | Time: 1.5425 sec
Epoch 367/5001 | Loss: 2587.732178 | Time: 1.6058 sec
Epoch 368/5001 | Loss: 2587.539551 | Time: 1.5393 sec
Epoch 369/5001 | Loss: 2587.349609 | Time: 1.5306 sec
Epoch 370/5001 | Loss: 2587.161621 | Time: 1.3567 sec
Epoch 371/5001 | Loss: 2586.974609 | Time: 1.5896 sec
Epoch 372/5001 | Loss: 2586.790039 | Time: 1.5285 sec
Epoch 373/5001 | Loss: 2586.607422 | Time: 1.5505 sec
Epoch 374/5001 | Loss: 2586.425537 | Time: 1.5870 sec
Epoch 375/5001 | Loss: 2586.245605 | Time: 1.5415 sec
Epoch 376/5001 | Loss: 2586.067627 | Time: 1.5438 sec
Epoch 377/5001 | Loss: 2585.891357 | Time: 1.5430 sec
Epoch 378/5001 | Loss: 2585.716064 | Time: 1.6169 sec
Epoch 379/5001 | Loss: 2585.541992 | Time: 1.5667 sec
Epoch 380/5001 | Loss: 2585.370850 | Time: 1.5353 sec
Epoch 381/5001 | Loss: 2585.200195 | Time: 1.6143 sec
Epoch 382/5001 | Loss: 2585.031494 | Time: 1.5707 sec
Epoch 383/5001 | Loss: 2584.864502 | Time: 1.5429 sec
Epoch 384/5001 | Loss: 2584.698730 | Time: 1.6296 sec
Epoch 385/5001 | Loss: 2584.534180 | Time: 1.5374 sec
Epoch 386/5001 | Loss: 2584.370850 | Time: 1.5395 sec
Epoch 387/5001 | Loss: 2584.209229 | Time: 1.5424 sec
Epoch 388/5001 | Loss: 2584.048828 | Time: 1.6213 sec
